	Sp_ds	Sp_hs	Sp_log	Sp_plat
Q09748	4.00	0.07	16.84	26.37
O60164	24.55	116.87	220.53	28.82
c5161_g1_i1	107.49	89.39	26.95	698.97
P36614	27.91	72.57	5.56	36.58
P37818	82.57	19.03	48.55	258.22
Q9URZ2	109.25	0.00	1.69	249.04
Q9UTS7	26.55	88.25	296.03	20.74
P41887	863.50	8798.74	2081.02	53.46
O14284	86.52	34.05	6.62	77.17
O94315	544.55	88.38	9.00	770.03
P40372	107.79	220.35	259.27	28.43
Q10286	72.46	18.65	64.38	174.75
O14400	249.73	28.59	12.40	6.47
P78831	2369.93	44.61	150.75	892.83
P33289	29.10	5.94	14.59	266.16
O74777	9.16	82.47	127.65	13.10
O60184	35.91	2.91	65.65	43.84
O13737	69.61	44.53	11.11	153.07
O13639	199.51	522.24	741.82	97.39
O94580	26.75	229.84	13.74	34.84
O14082	1442.26	1152.68	12.50	25.09
O60153	66.56	328.39	29.93	505.78
O74391	111.67	466.24	367.75	38.03
Q9P783	9.28	50.49	143.92	8.85
O14044	11.29	67.91	149.32	24.13
Q09912	507.70	3337.65	124.36	272.22
Q9Y7R8	1349.40	838.75	131.87	4300.45
O94425	367.79	408.65	3.11	118.68
O94547	386.60	218.24	16.24	239.29
O14359	531.51	1074.84	84.40	182.85
O74378	304.61	117.15	63.24	589.38
O14131	233.66	137.53	12.59	344.19
P87136	61.98	41.10	5.90	83.73
c5110_g1_i1	423.15	260.02	109.10	951.56
B5BP47	14.42	4.68	55.06	3.40
O13908	55.11	26.70	1.81	42.47
O59715	157.25	22.91	73.92	773.19
O59812	267.81	3.72	5.84	14.06
O74492	140.22	33.55	32.35	398.32
O42654	13.26	72.12	1.21	78.23
O14020	132.94	69.22	8.00	141.27
O94639	53.16	12.58	139.66	56.72
c1382_g1_i1	0.00	1.30	1.85	48.91
O94733	703.76	364.70	20.14	553.02
c6221_g1_i1	5.85	0.00	1.96	215.17
O13947	6.99	9.93	20.74	0.00
O14150	297.72	479.66	1206.82	57.91
Q9HDU5	313.39	20.42	13.10	226.83
O74380	36.33	27.48	0.00	28.05
Q9URX6	980.77	3626.94	2582.58	407.78
O13716	22.08	60.73	85.56	5.64
P40899	24.14	61.16	22.28	2.96
Q09802	737.01	32.39	23.01	5883.71
P22189	3.58	82.61	7.18	5.85
Q04800	6.09	2.34	115.56	3.96
O14124	267.26	139.17	44.23	1043.91
Q9Y7X7	930.28	839.49	21.27	474.16
P04551	17.94	40.88	0.00	57.87
Q09916	9.93	78.40	152.12	11.27
Q9P7E7	22.55	162.08	246.38	32.09
O42893	604.12	637.67	40.04	308.31
Q92345	185.97	1057.35	3644.47	574.41
B8I799	29.61	13.91	4.67	406.54
O60128	1222.34	2630.18	3051.28	371.90
O59855	2187.25	12645.55	3456.67	73.59
O74380	0.00	0.00	43.83	19.74
Q9P3U6	94.19	0.00	5.35	0.00
P17476	271.27	1255.70	869.40	32.48
Q10306	1406.86	531.82	175.71	2257.48
O60071	11.44	46.53	126.26	34.43
Q9USG8	256.63	80.09	13.31	74.69
Q10265	952.65	4871.26	592.76	47.82
Q9Y7N6	29.26	12.01	9.80	178.97
Q9Y7Q3	23.78	2.91	0.00	41.20
Q11118	733.48	3351.38	810.50	155.54
O13991	1049.77	561.52	83.32	316.13
P87058	39.87	250.54	300.38	32.21
O42842	38.19	213.23	380.54	13.01
O59759	21.35	15.59	0.00	46.00
Q10216	1151.38	23.46	6.27	1644.86
Q9HDU3	166.83	31.53	8.48	59.18
O59932	525.96	26.39	9.95	29.38
c933_g1_i2	2.69	211.34	1.24	1.67
O13724	32.81	1338.20	190.26	28.04
Q9P6J6	17.85	121.65	20.36	8.94
c4446_g2_i1	21.40	111.83	2.53	18.59
Q9UT24	5.79	8.09	11.58	0.00
Q09179	27.36	16.74	344.22	23.70
Q10367	15.45	7.18	0.00	26.91
Q9P3U7	176.19	30.36	314.33	391.02
O74399	16.47	70.81	139.33	15.47
P09202	635.06	13.37	15.43	2282.34
Q9P7Q6	28.59	41.58	3.82	57.46
P08093	189.65	526.52	718.20	50.39
Q09715	0.00	9.92	29.03	5.63
Q9USV2	0.00	37.33	15.08	11.41
Q9C0U6	64.78	36.31	15.15	161.99
O59814	263.31	16.02	1.86	175.77
Q9UTP0	82.55	453.10	364.31	4.22
Q9UTH5	62.64	17.55	245.36	211.44
P0C8R3	418.08	1156.20	849.89	97.37
O59768	0.00	0.00	0.00	50.74
