	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c3833_g1_i2	Q09748	GO:0061025	4.00	0.07	16.84	26.37	membrane fusion

c4832_g1_i1	O60164	GO:0043021	24.55	116.87	220.53	28.82	ribonucleoprotein complex binding

c5161_g1_i1	NA	GO:0043021	107.49	89.39	26.95	698.97	ribonucleoprotein complex binding

c4399_g1_i2	P36614	GO:1900490	27.91	72.57	5.56	36.58	positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity

c5916_g1_i1	P37818	GO:0046872	82.57	19.03	48.55	258.22	metal ion binding

c73_g1_i1	Q9URZ2	GO:0008150	109.25	0.00	1.69	249.04	biological_process

c2672_g1_i1	Q9UTS7	GO:0016787	26.55	88.25	296.03	20.74	hydrolase activity

c4859_g1_i1	P41887	GO:0061077	863.50	8798.74	2081.02	53.46	chaperone-mediated protein folding

c6085_g1_i1	O14284	GO:0051321	86.52	34.05	6.62	77.17	meiotic cell cycle

c5949_g1_i1	O94315	GO:0055114	544.55	88.38	9.00	770.03	oxidation-reduction process

c4386_g1_i1	P40372	GO:0030529	107.79	220.35	259.27	28.43	ribonucleoprotein complex

c196_g1_i1	Q10286	GO:0097319	72.46	18.65	64.38	174.75	carbohydrate import into cell

c5627_g1_i1	O14400	GO:0055114	249.73	28.59	12.40	6.47	oxidation-reduction process

c4754_g4_i2	P78831	GO:0055085	2369.93	44.61	150.75	892.83	transmembrane transport

c181_g1_i1	P33289	GO:0007031	29.10	5.94	14.59	266.16	peroxisome organization

c3727_g1_i1	O74777	GO:0042254	9.16	82.47	127.65	13.10	ribosome biogenesis

c1919_g1_i2	O60184	GO:0043234	35.91	2.91	65.65	43.84	protein complex

c3618_g1_i2	O13737	GO:0016021	69.61	44.53	11.11	153.07	integral component of membrane

c5826_g1_i1	O13639	GO:0016787	199.51	522.24	741.82	97.39	hydrolase activity

c6226_g1_i1	O94580	GO:0046872	26.75	229.84	13.74	34.84	metal ion binding

c2796_g1_i1	O14082	GO:0055114	1442.26	1152.68	12.50	25.09	oxidation-reduction process

c2856_g1_i1	O60153	GO:0032153	66.56	328.39	29.93	505.78	cell division site

c3489_g1_i1	O74391	GO:0030529	111.67	466.24	367.75	38.03	ribonucleoprotein complex

c6269_g1_i1	Q9P783	GO:0043234	9.28	50.49	143.92	8.85	protein complex

c6600_g1_i1	O14044	GO:0042254	11.29	67.91	149.32	24.13	ribosome biogenesis

c1207_g1_i1	Q09912	GO:0022627	507.70	3337.65	124.36	272.22	cytosolic small ribosomal subunit

c5799_g1_i1	Q9Y7R8	GO:0055114	1349.40	838.75	131.87	4300.45	oxidation-reduction process

c93_g1_i1	O94425	GO:0008150	367.79	408.65	3.11	118.68	biological_process

c3104_g1_i2	O94547	GO:0051445	386.60	218.24	16.24	239.29	regulation of meiotic cell cycle

c5218_g1_i1	O14359	GO:0016787	531.51	1074.84	84.40	182.85	hydrolase activity

c3968_g1_i1	O74378	GO:0004591	304.61	117.15	63.24	589.38	oxoglutarate dehydrogenase (succinyl-transferring) activity

c989_g1_i1	O14131	GO:0051692	233.66	137.53	12.59	344.19	cellular oligosaccharide catabolic process

c2673_g1_i1	P87136	GO:0016021	61.98	41.10	5.90	83.73	integral component of membrane

c5110_g1_i1	NA	GO:0016021	423.15	260.02	109.10	951.56	integral component of membrane

c3123_g1_i1	B5BP47	GO:1902475	14.42	4.68	55.06	3.40	L-alpha-amino acid transmembrane transport

c1180_g1_i1	O13908	GO:0055114	55.11	26.70	1.81	42.47	oxidation-reduction process

c1170_g1_i1	O59715	GO:0055114	157.25	22.91	73.92	773.19	oxidation-reduction process

c463_g1_i1	O59812	GO:0055114	267.81	3.72	5.84	14.06	oxidation-reduction process

c894_g1_i1	O74492	GO:0033971	140.22	33.55	32.35	398.32	hydroxyisourate hydrolase activity

c4176_g1_i1	O42654	GO:0051321	13.26	72.12	1.21	78.23	meiotic cell cycle

c3592_g2_i1	O14020	GO:0016021	132.94	69.22	8.00	141.27	integral component of membrane

c2449_g1_i1	O94639	GO:0071577	53.16	12.58	139.66	56.72	zinc ion transmembrane transport

c1382_g1_i1	NA	GO:0071577	0.00	1.30	1.85	48.91	zinc ion transmembrane transport

c6118_g1_i1	O94733	GO:0008150	703.76	364.70	20.14	553.02	biological_process

c6221_g1_i1	NA	GO:0008150	5.85	0.00	1.96	215.17	biological_process

c1327_g1_i2	O13947	GO:0070903	6.99	9.93	20.74	0.00	mitochondrial tRNA thio-modification

c4650_g1_i1	O14150	GO:0042254	297.72	479.66	1206.82	57.91	ribosome biogenesis

c1913_g1_i1	Q9HDU5	GO:0052574	313.39	20.42	13.10	226.83	UDP-D-galactose biosynthetic process

c92_g1_i2	O74380	GO:0031966	36.33	27.48	0.00	28.05	mitochondrial membrane

c6080_g1_i1	Q9URX6	GO:0030529	980.77	3626.94	2582.58	407.78	ribonucleoprotein complex

c2435_g1_i1	O13716	GO:0071555	22.08	60.73	85.56	5.64	cell wall organization

c2925_g1_i2	P40899	GO:0051321	24.14	61.16	22.28	2.96	meiotic cell cycle

c5211_g1_i1	Q09802	GO:0008150	737.01	32.39	23.01	5883.71	biological_process

c2896_g1_i1	P22189	GO:1990035	3.58	82.61	7.18	5.85	calcium ion import into cell

c1234_g1_i1	Q04800	GO:0055114	6.09	2.34	115.56	3.96	oxidation-reduction process

c6198_g1_i1	O14124	GO:0046872	267.26	139.17	44.23	1043.91	metal ion binding

c353_g1_i1	Q9Y7X7	GO:0016192	930.28	839.49	21.27	474.16	vesicle-mediated transport

c1453_g1_i1	P04551	GO:1902424	17.94	40.88	0.00	57.87	negative regulation of attachment of spindle microtubules to kinetochore involved in mitotic sister chromatid segregation

c2811_g1_i2	Q09916	GO:0042254	9.93	78.40	152.12	11.27	ribosome biogenesis

c1520_g1_i1	Q9P7E7	GO:0009986	22.55	162.08	246.38	32.09	cell surface

c5786_g1_i1	O42893	GO:1903134	604.12	637.67	40.04	308.31	trehalose catabolic process involved in cellular response to stress

c4802_g1_i1	Q92345	GO:0046872	185.97	1057.35	3644.47	574.41	metal ion binding

c4189_g1_i2	B8I799	GO:0055114	29.61	13.91	4.67	406.54	oxidation-reduction process

c4955_g1_i1	O60128	GO:0030529	1222.34	2630.18	3051.28	371.90	ribonucleoprotein complex

c4716_g2_i1	O59855	GO:1900035	2187.25	12645.55	3456.67	73.59	negative regulation of cellular response to heat

c92_g1_i1	O74380	GO:0031966	0.00	0.00	43.83	19.74	mitochondrial membrane

c4754_g3_i1	Q9P3U6	GO:0055085	94.19	0.00	5.35	0.00	transmembrane transport

c2948_g2_i1	P17476	GO:0030529	271.27	1255.70	869.40	32.48	ribonucleoprotein complex

c5940_g1_i1	Q10306	GO:0046912	1406.86	531.82	175.71	2257.48	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer

c4945_g1_i1	O60071	GO:0030515	11.44	46.53	126.26	34.43	snoRNA binding

