	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c3833_g1_i2	Q09748	GO:0000001	4.00	0.07	16.84	26.37	mitochondrion inheritance
c4832_g1_i1	O60164	GO:0000463	24.55	116.87	220.53	28.82	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
c5161_g1_i1	NA	GO:0000463	107.49	89.39	26.95	698.97	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
c4399_g1_i2	P36614	GO:0000790	27.91	72.57	5.56	36.58	nuclear chromatin
c5916_g1_i1	P37818	GO:0000050	82.57	19.03	48.55	258.22	urea cycle
c73_g1_i1	Q9URZ2	GO:0003674	109.25	0.00	1.69	249.04	molecular_function
c2672_g1_i1	Q9UTS7	GO:0004067	26.55	88.25	296.03	20.74	asparaginase activity
c4859_g1_i1	P41887	GO:0000166	863.50	8798.74	2081.02	53.46	nucleotide binding
c6085_g1_i1	O14284	GO:0003674	86.52	34.05	6.62	77.17	molecular_function
c5949_g1_i1	O94315	GO:0005634	544.55	88.38	9.00	770.03	nucleus
c4386_g1_i1	P40372	GO:0000027	107.79	220.35	259.27	28.43	ribosomal large subunit assembly
c196_g1_i1	Q10286	GO:0000139	72.46	18.65	64.38	174.75	Golgi membrane
c5627_g1_i1	O14400	GO:0004368	249.73	28.59	12.40	6.47	glycerol-3-phosphate dehydrogenase activity
c4754_g4_i2	P78831	GO:0005215	2369.93	44.61	150.75	892.83	transporter activity
c181_g1_i1	P33289	GO:0000166	29.10	5.94	14.59	266.16	nucleotide binding
c3727_g1_i1	O74777	GO:0003723	9.16	82.47	127.65	13.10	RNA binding
c1919_g1_i2	O60184	GO:0000122	35.91	2.91	65.65	43.84	negative regulation of transcription from RNA polymerase II promoter
c3618_g1_i2	O13737	GO:0003674	69.61	44.53	11.11	153.07	molecular_function
c5826_g1_i1	O13639	GO:0004013	199.51	522.24	741.82	97.39	adenosylhomocysteinase activity
c6226_g1_i1	O94580	GO:0005634	26.75	229.84	13.74	34.84	nucleus
c2796_g1_i1	O14082	GO:0005634	1442.26	1152.68	12.50	25.09	nucleus
c2856_g1_i1	O60153	GO:0003674	66.56	328.39	29.93	505.78	molecular_function
